label,removed_doc_id,root_doc_id,similarity_score,removed_char_len,root_char_len,removed_preview,root_preview,allowed_labels
,shard_00092.parquet:900,shard_00164.parquet:14066,0.9999998211860657,3311,3311,"There is no doubt the topic of climate change can lead to heated debate. Throw in the notion that climate change and its impacts are a proximate cause of violent conflict and the conversation boils over. A potential 54% increase in the incidence of conflict in sub-Saharan Africa by 2030, based on global temperature rise of 2° Fahrenheit, foretells a future where the current downward trend in violent conflict could be completely reversed. But skepticism and debate on the topic of climate change and conflict abounds. With the most hard-talking IPCC climate change report released to date, we delved further into these issues, consulting a variety of academic articles, publications and colleagues to help frame the debate. We also interviewed Marshall Burke, professor at Stanford University as well as Margaret Arnold, Climate Change and Resilience Team Leader at the World Bank. We summarize the major issues; probe the link between conflict and climate change; and discuss what is currently being done as well as what more needs to be done to mitigate climate change impacts on conflict. Continue reading A Violently Hot Topic: Climate Change and Conflict Four compelling reasons to be hopeful","There is no doubt the topic of climate change can lead to heated debate. Throw in the notion that climate change and its impacts are a proximate cause of violent conflict and the conversation boils over. A potential 54% increase in the incidence of conflict in sub-Saharan Africa by 2030, based on global temperature rise of 2° Fahrenheit, foretells a future where the current downward trend in violent conflict could be completely reversed. But skepticism and debate on the topic of climate change and conflict abounds. With the most hard-talking IPCC climate change report released to date, we delved further into these issues, consulting a variety of academic articles, publications and colleagues to help frame the debate. We also interviewed Marshall Burke, professor at Stanford University as well as Margaret Arnold, Climate Change and Resilience Team Leader at the World Bank. We summarize the major issues; probe the link between conflict and climate change; and discuss what is currently being done as well as what more needs to be done to mitigate climate change impacts on conflict. Continue reading A Violently Hot Topic: Climate Change and Conflict Four compelling reasons to be hopeful",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00064.parquet:46850,shard_00015.parquet:47479,0.9999997615814209,5501,5501,"Last Updated: Jun 5, 2018 How can you tell when an employee, job applicant or coworker is telling a lie? Learn to spot deception by watching for these seven tell-tale clues that the person you’re talking to is lying. Spotting deception begins with observing a person’s baseline behavior under relaxed or generally stress-free conditions so that you can detect meaningful deviations. One of the strategies that experienced interviewers use is to ask a series of simple questions while observing how the person behaves when there is no reason to lie. Then, when the more difficult issues get addressed, the interviewer can stay alert for sudden changes in behavior that may indicate deception around key points. For the vast majority of the individuals you interview or work with, the act of lying triggers a heightened stress response. Blood pressure, heart rate and breathing rates all increase. To relieve stress and anxiety, liars may use pacifying gestures (rubbing their hands together, bouncing their heels, fidgeting with jewelry, etc.) But our first response to stress (before we ready ourselves to fight or flee) is to freeze. So also pay attention if your usually animated colleague suddenly","Last Updated: Jun 5, 2018 How can you tell when an employee, job applicant or coworker is telling a lie? Learn to spot deception by watching for these seven tell-tale clues that the person you’re talking to is lying. Spotting deception begins with observing a person’s baseline behavior under relaxed or generally stress-free conditions so that you can detect meaningful deviations. One of the strategies that experienced interviewers use is to ask a series of simple questions while observing how the person behaves when there is no reason to lie. Then, when the more difficult issues get addressed, the interviewer can stay alert for sudden changes in behavior that may indicate deception around key points. For the vast majority of the individuals you interview or work with, the act of lying triggers a heightened stress response. Blood pressure, heart rate and breathing rates all increase. To relieve stress and anxiety, liars may use pacifying gestures (rubbing their hands together, bouncing their heels, fidgeting with jewelry, etc.) But our first response to stress (before we ready ourselves to fight or flee) is to freeze. So also pay attention if your usually animated colleague suddenly",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00137.parquet:51826,shard_00037.parquet:9641,0.9077990055084229,2098,1063,"Once extinct in Switzerland, the ibex is back. Thousands of the surefooted creatures now live in the Swiss Alps. The Swiss loved their ibex to death – hunting them for their meat and horns, which people once believed had medicinal properties. Supposedly, horn powder could help conquer vertigo. The last Swiss ibex was shot in canton Valais in 1809, but Italy still had loads of them thanks to the royal hunting supply. Later, Swiss officials asked whether they could buy some Italian ibex, but King Victor Emmanuel II wasn’t selling. So in 1906, the Swiss authorities hired poachers to capture a number of Italian ibex kids and sneak them over the Swiss border. A successful breeding programme made it possible to start the Augstmatthorn colony in the Bernese Oberland. Later, Italian leader Benito Mussolini gave Switzerland additional animals. So-called bottlenecks have been a challenge for Alpine ibex. These occur when a population becomes very small – causing a loss of genetic diversity, which can then have a negative impact on a population’s well-being. “Most populations in the Alps are growing well, and there’s no immediate need to do anything about it. But some aren’t, so those are pop","Once extinct in Switzerland, the ibex is back. Thousands of the surefooted creatures now live in the Swiss Alps. The Swiss loved their ibex to death – hunting them for their meat and horns, which people once believed had medicinal properties. Supposedly, horn powder could help conquer vertigo. The last Swiss ibex was shot in canton Valais in 1809, but Italy still had loads of them thanks to the royal hunting supply. Later, Swiss officials asked whether they could buy some Italian ibex, but King Victor Emmanuel II wasn’t selling. So in 1906, the Swiss authorities hired poachers to capture a number of Italian ibex kids and sneak them over the Swiss border. A successful breeding programme made it possible to start the Augstmatthorn colony in the Bernese Oberland. Later, Italian leader Benito Mussolini gave Switzerland additional animals. So-called bottlenecks have been a challenge for Alpine ibex. These occur when a population becomes very small – causing a loss of genetic diversity, which can then have a negative impact on a population’s well-being.",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00038.parquet:53217,shard_00163.parquet:38785,1.0000005960464478,2363,2363,"Sketches of War History Transcribed by Larry Stevens - Battles and Campaigns in Arkansas - Brevet Lieutenant Colonel Andrew W. McCormick. - A Boy at Shiloh - Companion John A. Cockerill. - Three Memorable Days. A Letter From Chattanooga, November, 1863 - First Lieutenant Alfred Pirtle. - From Knoxville to Mobile Bay - Captain J. Gordon Taylor. - The Last Blood Shed in the Civil War - Captain Archibald H. Thompson. - McDowell's Explanation of the Failure of the First Corps to Join McClellan - Colonel Latham Anderson. - Major General Philip Kearny - Captain Albert C. Thompson. - The Boys in Blue at Missionary Ridge - Brevet Major Leonidas M. Jewett. - Stone River Sketches - First Lieutenant Alfred Pirtle. - Personal Recollections and Experiences of a Soldier During the War of the Rebellion - Brevet Major Frank J. Jones. - The Battle of Shiloh as a Private Saw it - Captain Robert H. Fleming. - The ""Underground Railroad"" and the ""Grapevine Telegraph"". An Escaping Prisoner's Experience - Brevet Colonel Theodore F. Allen. - The Battle of Hoover's Gap - Brevet Brigadier General John T. Wilder. - Field Notes of the Selma Campaign - First Lieutenant Charles D. Mitchell. - The Second Day at","Sketches of War History Transcribed by Larry Stevens - Battles and Campaigns in Arkansas - Brevet Lieutenant Colonel Andrew W. McCormick. - A Boy at Shiloh - Companion John A. Cockerill. - Three Memorable Days. A Letter From Chattanooga, November, 1863 - First Lieutenant Alfred Pirtle. - From Knoxville to Mobile Bay - Captain J. Gordon Taylor. - The Last Blood Shed in the Civil War - Captain Archibald H. Thompson. - McDowell's Explanation of the Failure of the First Corps to Join McClellan - Colonel Latham Anderson. - Major General Philip Kearny - Captain Albert C. Thompson. - The Boys in Blue at Missionary Ridge - Brevet Major Leonidas M. Jewett. - Stone River Sketches - First Lieutenant Alfred Pirtle. - Personal Recollections and Experiences of a Soldier During the War of the Rebellion - Brevet Major Frank J. Jones. - The Battle of Shiloh as a Private Saw it - Captain Robert H. Fleming. - The ""Underground Railroad"" and the ""Grapevine Telegraph"". An Escaping Prisoner's Experience - Brevet Colonel Theodore F. Allen. - The Battle of Hoover's Gap - Brevet Brigadier General John T. Wilder. - Field Notes of the Selma Campaign - First Lieutenant Charles D. Mitchell. - The Second Day at",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00024.parquet:28272,shard_00073.parquet:31063,0.96958988904953,4331,4250,"Microbiota and Microbiome as Objectives of the Old Herborn University Foundation The general objectives of the Old Herborn University Foundation are the promotion of science and research. One particular aim are microbiota and the microbiome. What are microbiota? Microbiota are composed of microorganisms. Microbes reside in and on multicellular organisms and form an ecological community named microbiota. These include bacteria, archaea, protists, fungi and viruses. The term microbiome describes the whole genome of microorganisms assembled in microbiota. In todays common usage, however, the perceptions of microbiota and microbiome became more or less synonymous. During evolution in millions of years, microbiota and host emerged as a functional unit representing a “superorganism” or holobiont, a concept most important for human beings. Consequently, the specific objective of the Foundation is the focus on research into host-microbiota interaction for the benefit of human health. Humans coexist with myriads of microbes in most parts of their body, like the skin, the mouth, the gastrointestinal tract, the vagina, and even the lung and other parts as the placenta, hitherto considered to","The general objectives of the Old Herborn University Foundation are the promotion of science and research. One particular aim are microbiota and the microbiome. What are microbiota? Microbiota are composed of microorganisms. Microbes reside in and on multicellular organisms and form an ecological community named microbiota. These include bacteria, archaea, protists, fungi and viruses. The term microbiome describes the whole genome of microorganisms assembled in microbiota. In todays common usage, however, the perceptions of microbiota and microbiome became more or less synonymous. During evolution in millions of years, microbiota and host emerged as a functional unit representing a “superorganism” or holobiont, a concept most important for human beings. Consequently, the specific objective of the Foundation is the focus on research into host-microbiota interaction for the benefit of human health. Humans coexist with myriads of microbes in most parts of their body, like the skin, the mouth, the gastrointestinal tract, the vagina, and even the lung and other parts as the placenta, hitherto considered to be sterile. Microbial cells outnumber human cells by a factor of ten to one hundr",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00117.parquet:23943,shard_00113.parquet:3309,0.9999997019767761,1542,1542,"In the middle of the Large Market Antwerp, Brabo, the statue of a man throwing a large hand, is standing. This statue dates from 1887 and was made by Jef Lambeaux. Note that the water is not falling into a bassin, no, the water simply hits the ground. This statue shows the legend related to the name 'Antwerp'. This is the story. There was a terrible giant (Druoon Antigoon) living next the the river Scheldt. Al ships had to pay high taxes to be allowed to pass with their ship. If they didn't, he hook off their hand. But, he didn't count on the brave Roman soldier Silvius Brabo, who killed the giant. After that, he hook off the hand of the giant, and threw this into the river Scheldt. Hence the name 'Antwerpen' or 'Hand Throwing'. Of course, this legend is not correct. Other possibilities are : - Antwerp means 'Aan de werpen', which means on the ditches of on the shipyard. - Roman coins were found indicating Ando Verpia. - When the Scheldt was still a free, fully natural river, and the Stone was built, they first had to build a hill. Such hill was called Aanworp. Whatever, the Antwerpians have something with hands. They are present in their scutcheon, and in a lot of nice food they m","In the middle of the Large Market Antwerp, Brabo, the statue of a man throwing a large hand, is standing. This statue dates from 1887 and was made by Jef Lambeaux. Note that the water is not falling into a bassin, no, the water simply hits the ground. This statue shows the legend related to the name 'Antwerp'. This is the story. There was a terrible giant (Druoon Antigoon) living next the the river Scheldt. Al ships had to pay high taxes to be allowed to pass with their ship. If they didn't, he hook off their hand. But, he didn't count on the brave Roman soldier Silvius Brabo, who killed the giant. After that, he hook off the hand of the giant, and threw this into the river Scheldt. Hence the name 'Antwerpen' or 'Hand Throwing'. Of course, this legend is not correct. Other possibilities are : - Antwerp means 'Aan de werpen', which means on the ditches of on the shipyard. - Roman coins were found indicating Ando Verpia. - When the Scheldt was still a free, fully natural river, and the Stone was built, they first had to build a hill. Such hill was called Aanworp. Whatever, the Antwerpians have something with hands. They are present in their scutcheon, and in a lot of nice food they m",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00104.parquet:29855,shard_00148.parquet:5395,0.9736470580101013,2799,2822,"Doing a lot of refactoring work myself and guiding a group coding bootcamp students through their final project I came across different steps one could take to make the code much cleaner and the app more readable and understandable. Oftentimes, especially in more complex applications, there is a need to check different conditions. As an example I would use a chess app my stundents were implementing as their final project. Here is the concrete example: Implement valid_move? method for the rook piece Thinking through the logic of this method we need to consider following aspects: - Check if we are actually moving the piece (new coordinates are not the same as current coordinates) - Check if the new coordinates are inside the chess board (1 to 8 or 0 to 7 depending on the implementation of the board) - Check if the rook is only moving vertically or horizontally At this point we don’t care so much whether there is another piece at the destination. Following the three requirements we would come up with the following implementation: I once heard that we should make our code readable and understandable for other developers. Other developers is also yourself in two weeks. Now looking at th","Refactor If Conditions Doing a lot of refactoring work myself and guiding a group coding bootcamp students through their final project I came across different steps one could take to make the code much cleaner and the app more readable and understandable. Oftentimes, especially in more complex applications, there is a need to check different conditions. As an example I would use a chess app my stundents were implementing as their final project. Here is the concrete example: Implement valid_move? method for the rook piece Thinking through the logic of this method we need to consider following aspects: - Check if we are actually moving the piece (new coordinates are not the same as current coordinates) - Check if the new coordinates are inside the chess board (1 to 8 or 0 to 7 depending on the implementation of the board) - Check if the rook is only moving vertically or horizontally At this point we don’t care so much whether there is another piece at the destination. Following the three requirements we would come up with the following implementation: I once heard that we should make our code readable and understandable for other developers. Other developers is also yourself in two w",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00030.parquet:44015,shard_00093.parquet:48816,0.9999995827674866,689,689,"Cognitive behavioural therapy (CBT) is based on the theory that how we think about a situation affects how we act and, in turn, our actions can affect how we think and feel. The therapist will attempt to show how anorexia is often associated with unhealthy and unrealistic thoughts and beliefs about food and diet. For example, these could be: - “Putting on weight is the single worst thing that can happen in my life.” - “Everyone I know secretly thinks I’m fat.” - “If I finish the whole meal, people I’m eating with, will think I’m greedy and worthless.” The therapist will encourage the adoption of healthier, more realistic ways of thinking that should lead to more positive behavior.","Cognitive behavioural therapy (CBT) is based on the theory that how we think about a situation affects how we act and, in turn, our actions can affect how we think and feel. The therapist will attempt to show how anorexia is often associated with unhealthy and unrealistic thoughts and beliefs about food and diet. For example, these could be: - “Putting on weight is the single worst thing that can happen in my life.” - “Everyone I know secretly thinks I’m fat.” - “If I finish the whole meal, people I’m eating with, will think I’m greedy and worthless.” The therapist will encourage the adoption of healthier, more realistic ways of thinking that should lead to more positive behavior.",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00037.parquet:29460,shard_00051.parquet:3662,0.9836979508399963,1560,1430,"Bath-built ships played role in D-Day invasion Ships built over 2-month period for Navy Several ships built at Bath Iron Works played roles in the D-Day invasion in Normandy, France, 70 years ago Friday. BIW said the USS Barton, USS Walke, USS Laffey, USS O'Brien and USS Meredith were all built in Bath, one right after the other from December 1943 to February 1944. Click to see historic photos of the ships Soon after delivery the Sumner-Class destroyers took part in the Normandy invasion. Shipyard officials said the ships stayed together for much of the war as Destroyer 119, and were known to be ""where the action is,"" according to the book Bath Iron Works -- First Hundred Years. According to the book, ""The ships spent the first hours of the invasion providing the defensive screen against German attacks on the invasion fleet with aircraft, submarines and E-boats."" The Meredith was providing support for troops on Utah Beach when a mine in shallow water ripped a 65-foot hole in the ship. The ship didn't sink, but 35 men were killed and 26 were wounded. Salvage efforts were underway when a German air attack dropped at 2,000-pound bomb within 800 yards of the Meredith, according to the","Several ships built at Bath Iron Works played roles in the D-Day invasion in Normandy, France, 70 years ago Friday. BIW said the USS Barton, USS Walke, USS Laffey, USS O'Brien and USS Meredith were all built in Bath, one right after the other from December 1943 to February 1944. Soon after delivery the Sumner-Class destroyers took part in the Normandy invasion. Shipyard officials said the ships stayed together for much of the war as Destroyer 119, and were known to be ""where the action is,"" according to the book Bath Iron Works -- First Hundred Years. According to the book, ""The ships spent the first hours of the invasion providing the defensive screen against German attacks on the invasion fleet with aircraft, submarines and E-boats."" The Meredith was providing support for troops on Utah Beach when a mine in shallow water ripped a 65-foot hole in the ship. The ship didn't sink, but 35 men were killed and 26 were wounded. Salvage efforts were underway when a German air attack dropped at 2,000-pound bomb within 800 yards of the Meredith, according to the book. The ship still did not sink, and it was a few days later when the Meredith broke apart. It had only been in active commissio",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00113.parquet:16817,shard_00074.parquet:16583,0.9999995231628418,978,978,"Ballet is classical dance form characterized by grace and precision of movement envolving elaborate formal gestures, steps, and poses. Students often begin ballet to develop grace, improve posture, or to overcome weakness, injury or illness. Ballet is a challenging discipline that develops coordination, mental acuity, and an ear for music. From an exercise standpoint, ballet’s many benefits include muscular strengthening, the building of cardiovascular stamina, and the potential to increase flexibility. Other benefits include postural awareness and better alignment. The discipline and practice required in ballet promotes organizational skills, concentration levels, commitment, memorization, and self-expression. Studying ballet challenges the mind and improves spatial and kinesthetic awareness. The constant application of putting steps together, turning, changing levels, reversing and retrograding has been proven to improve dyslexia and other learning disabilities.","Ballet is classical dance form characterized by grace and precision of movement envolving elaborate formal gestures, steps, and poses. Students often begin ballet to develop grace, improve posture, or to overcome weakness, injury or illness. Ballet is a challenging discipline that develops coordination, mental acuity, and an ear for music. From an exercise standpoint, ballet’s many benefits include muscular strengthening, the building of cardiovascular stamina, and the potential to increase flexibility. Other benefits include postural awareness and better alignment. The discipline and practice required in ballet promotes organizational skills, concentration levels, commitment, memorization, and self-expression. Studying ballet challenges the mind and improves spatial and kinesthetic awareness. The constant application of putting steps together, turning, changing levels, reversing and retrograding has been proven to improve dyslexia and other learning disabilities.",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
