label,removed_doc_id,root_doc_id,similarity_score,removed_char_len,root_char_len,removed_preview,root_preview,allowed_labels
,shard_00024.parquet:22990,shard_00124.parquet:16467,1.0000001192092896,3660,3660,"Recently, I heard the amazing story of Charles Blondin, a famous French tightrope walker, which illustrates how we can be challenged. Blondin’s greatest fame came on September 14, 1860, when he became the first person to cross a tightrope stretched 11,000 feet (over a quarter of a mile) across the mighty Niagara Falls. People from both Canada and America came from miles away to see this great feat. He walked across, 160 feet above the falls, several times… each time with a different daring feat – once in a sack, on stilts, on a bicycle, in the dark, and blindfolded. One time he even carried a stove and cooked an omelet in the middle of the rope! He also went across pushing a wheelbarrow and then a one point, he asked for the participation of a volunteer. Upon reaching the other side, the crowd’s applause was louder than the roar of the falls! The crowd enthusiastically yelled, “Yes! You are the greatest tightrope walker in the world. We believe!” How many volunteers do you think stepped forward? There were none, but the reason is the most interesting: They only observed and believed. As the story is told only his manager was willing to take the step beyond belief and have sufficien","Recently, I heard the amazing story of Charles Blondin, a famous French tightrope walker, which illustrates how we can be challenged. Blondin’s greatest fame came on September 14, 1860, when he became the first person to cross a tightrope stretched 11,000 feet (over a quarter of a mile) across the mighty Niagara Falls. People from both Canada and America came from miles away to see this great feat. He walked across, 160 feet above the falls, several times… each time with a different daring feat – once in a sack, on stilts, on a bicycle, in the dark, and blindfolded. One time he even carried a stove and cooked an omelet in the middle of the rope! He also went across pushing a wheelbarrow and then a one point, he asked for the participation of a volunteer. Upon reaching the other side, the crowd’s applause was louder than the roar of the falls! The crowd enthusiastically yelled, “Yes! You are the greatest tightrope walker in the world. We believe!” How many volunteers do you think stepped forward? There were none, but the reason is the most interesting: They only observed and believed. As the story is told only his manager was willing to take the step beyond belief and have sufficien",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00095.parquet:19738,shard_00087.parquet:43881,1.0,5514,5514,"Concerned about online security? Be careful to avoid this mistake. In the Beginning The internet has long been a trusting and insecure place. The initial mechanisms put in place by the early founders of the internet are largely still in place – and when you look just below the surface you can see most of the internet is simply plain text messages transmitting between server and browser, and for a large part of history, this was perfectly safe. But, just like your grandparents never bothered locking the doors in their small town, we have learned from hackers and nefarious state actors that security is increasingly important. In recent years, Google and other major players have been recommending Secure Sockets Layer (SSL) certificates for all industries. Once only common with banking or ecommerce sites, SSL certificates help encrypt the information sent between your web browser and the site you’re using. However, SSL requires a layer of trust as well as encryption; the browser, and thus you, must trust that the certificate has been signed by a reputable Certificate Authority (CA) and that all the keys along the way are not compromised. There are a limited number of certificate author","Concerned about online security? Be careful to avoid this mistake. In the Beginning The internet has long been a trusting and insecure place. The initial mechanisms put in place by the early founders of the internet are largely still in place – and when you look just below the surface you can see most of the internet is simply plain text messages transmitting between server and browser, and for a large part of history, this was perfectly safe. But, just like your grandparents never bothered locking the doors in their small town, we have learned from hackers and nefarious state actors that security is increasingly important. In recent years, Google and other major players have been recommending Secure Sockets Layer (SSL) certificates for all industries. Once only common with banking or ecommerce sites, SSL certificates help encrypt the information sent between your web browser and the site you’re using. However, SSL requires a layer of trust as well as encryption; the browser, and thus you, must trust that the certificate has been signed by a reputable Certificate Authority (CA) and that all the keys along the way are not compromised. There are a limited number of certificate author",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00009.parquet:33300,shard_00127.parquet:51282,1.0000003576278687,6477,6477,"Chapter 03: Early Subway Schemes Rapid Transit in New York City and in the Other Great Cities · Chamber of Commerce, 1906 During the period from 1868 to 1900 many subway schemes were brought forward in the effort to provide transportation that would be rapid and reliable, and would meet at least the demands of the times. Most of these are now historical incidents only. New York City Central Underground. In 1868, by an act of the Legislature, the New York City Central Underground Railway Company was incorporated. The line was to run from the City Hall to the Harlem River. The charter granted ample powers as to route, capital, and facilities for construction. Although the standing of the incorporators indicates that their purpose was serious, no practical result was reached. New York City Rapid Transit. Following this, in 1872, an act was passed by which Cornelius Vanderbilt and others were incorporated, as the New York City Rapid Transit Company, to build an underground road from the City Hall to connect with the New York & Harlem Railroad and with the New York Central. This company was duly organized and the necessary surveys and plans were made for the construction of the road. Ad","Chapter 03: Early Subway Schemes Rapid Transit in New York City and in the Other Great Cities · Chamber of Commerce, 1906 During the period from 1868 to 1900 many subway schemes were brought forward in the effort to provide transportation that would be rapid and reliable, and would meet at least the demands of the times. Most of these are now historical incidents only. New York City Central Underground. In 1868, by an act of the Legislature, the New York City Central Underground Railway Company was incorporated. The line was to run from the City Hall to the Harlem River. The charter granted ample powers as to route, capital, and facilities for construction. Although the standing of the incorporators indicates that their purpose was serious, no practical result was reached. New York City Rapid Transit. Following this, in 1872, an act was passed by which Cornelius Vanderbilt and others were incorporated, as the New York City Rapid Transit Company, to build an underground road from the City Hall to connect with the New York & Harlem Railroad and with the New York Central. This company was duly organized and the necessary surveys and plans were made for the construction of the road. Ad",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00072.parquet:20371,shard_00081.parquet:8044,0.9965336918830872,5032,4865,"Blowfly is the main external parasite affecting sheep in the summer months. More likely to occur in warmer, humid weather, the blowfly season is starting earlier and lasting longer than before1. If left untreated, fly strike can be fatal. Three species of fly can attack sheep in the UK: - Lucilia sericata (Greenbottle) - most common species - Lucilia caesar - second most common species - Calliphora vomitoria - quite rare - Agitation and dejection - foot stamping, vigorous shaking, gnawing or rubbing of the tail and breech. - Odour - as infestation develops a distinctive smell is noticeable. Wool becomes matted and discoloured. - Wool is shed - if infestations remain untreated, the affected area increases from the centre, accompanied by constant discomfort. - The smell of infestation attracts more flies – if unchecked, further infestations of flies can result in a quick and agonising death. The Blowfly Life Cycle - Blowfly larvae need soil temperatures above 9oC to develop. - The first ‘wave’ of flies – from overwintered larvae - causes spring strike. - Flies continue to deposit many hundreds of eggs onto affected sheep, which hatch into larvae. - Larvae develop through 3 stages bet","Blowfly is the main external parasite affecting sheep in the summer months. More likely to occur in warmer, humid weather, the blowfly season is starting earlier and lasting longer than before1. If left untreated, fly strike can be fatal. Three species of fly can attack sheep in the UK: - Lucilia sericata (Greenbottle) - most common species - Lucilia caesar - second most common species - Calliphora vomitoria - quite rare - Agitation and dejection - foot stamping, vigorous shaking, gnawing or rubbing of the tail and breech. - Odour - as infestation develops a distinctive smell is noticeable. Wool becomes matted and discoloured. - Wool is shed - if infestations remain untreated, the affected area increases from the centre, accompanied by constant discomfort. - The smell of infestation attracts more flies – if unchecked, further infestations of flies can result in a quick and agonising death. The Blowfly Life Cycle - Blowfly larvae need soil temperatures above 9oC to develop. - The first ‘wave’ of flies – from overwintered larvae - causes spring strike. - Flies continue to deposit many hundreds of eggs onto affected sheep, which hatch into larvae. - Larvae develop through 3 stages bet",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00152.parquet:32915,shard_00082.parquet:29115,1.0000003576278687,916,916,"Discover the cosmos! Each day we feature a different image or photograph of our fascinating universe, along with a brief explanation written by a professional astronomer. September 14, 1995 The Far Side Credit: The Soviet Lunar Program Explanation: This historic picture was humanity's first glimpse of the far side of the Moon. It was taken by the Soviet spacecraft Luna 3 in October of 1959. Luna 3 followed closely on the heels of another Soviet probe, Luna 2, which had become the first spacecraft to impact the Moon on September 13th of that same year. Why does the Moon have a far side? Gravitational tidal forces within the Earth-Moon system have synchronized the Moon's period of rotation around its axis with its orbital period at about 28 days. So, as the Moon moves around its orbit its rotation exactly compensates, keeping the same face toward the Earth. Tomorrow's picture: Space Station Mir Over Earth","Discover the cosmos! Each day we feature a different image or photograph of our fascinating universe, along with a brief explanation written by a professional astronomer. September 14, 1995 The Far Side Credit: The Soviet Lunar Program Explanation: This historic picture was humanity's first glimpse of the far side of the Moon. It was taken by the Soviet spacecraft Luna 3 in October of 1959. Luna 3 followed closely on the heels of another Soviet probe, Luna 2, which had become the first spacecraft to impact the Moon on September 13th of that same year. Why does the Moon have a far side? Gravitational tidal forces within the Earth-Moon system have synchronized the Moon's period of rotation around its axis with its orbital period at about 28 days. So, as the Moon moves around its orbit its rotation exactly compensates, keeping the same face toward the Earth. Tomorrow's picture: Space Station Mir Over Earth",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00030.parquet:338,shard_00069.parquet:20757,0.9999997615814209,6283,6283,"""All work and no play makes Jack a dull boy,"" goes the popular saying. Apparently, it also makes Jack a depressed boy. For people who work long hours, above the 40-hour-per-week average, the risk of becoming depressed is much greater. And that increased risk of depression is high no matter how stressful the job. This was clearly illustrated recently in Britain, where more than 2,000 civil servants were followed for six years. Those who put in an average of 11 hours per day or more at the office, had about two and a half times the odds of developing depression that their colleagues who clocked out after seven or eight hours. Overtime and Depression The British study used data from another long-running study called Whitehall II, which conducted research on employees from 20 different branches of civil service in London. Lead author Marianna Virtanen, Ph.D. from the Finnish Institute of Occupational Health in Helsinki and University College London, focused on 2,123 workers who were all evaluated as mentally healthy when they entered the study, between 1991 and 1993. After six years, a little more than three percent of the employees had experienced clinical depression within the previo","""All work and no play makes Jack a dull boy,"" goes the popular saying. Apparently, it also makes Jack a depressed boy. For people who work long hours, above the 40-hour-per-week average, the risk of becoming depressed is much greater. And that increased risk of depression is high no matter how stressful the job. This was clearly illustrated recently in Britain, where more than 2,000 civil servants were followed for six years. Those who put in an average of 11 hours per day or more at the office, had about two and a half times the odds of developing depression that their colleagues who clocked out after seven or eight hours. Overtime and Depression The British study used data from another long-running study called Whitehall II, which conducted research on employees from 20 different branches of civil service in London. Lead author Marianna Virtanen, Ph.D. from the Finnish Institute of Occupational Health in Helsinki and University College London, focused on 2,123 workers who were all evaluated as mentally healthy when they entered the study, between 1991 and 1993. After six years, a little more than three percent of the employees had experienced clinical depression within the previo",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00113.parquet:13203,shard_00097.parquet:43150,1.0000004768371582,2367,2367,"Not all collagens are alike The human body sometimes needs help to regenerate bones, soft tissue or cartilage - help in the form of collagen materials. Collagen structures play an important part in the regeneration of body tissue. The collagen fibre composite is used by body cells as a guide rail for growth and a protective, supporting framework. It is often assumed that interaction between the cell surface and collagen structures also play a role in the differentiation of mesenchymal stem cells in bone or skin cells. Collagen products, such as membranes or matrices, may be the key to controlling the body’s regeneration ability perfectly. With the right collagen framework, hypothetically every single body tissue can be regenerated. Geistlich has the experts, the know-how and the technical equipment to design collagen fibers and collagen scaffolds for different therapeutic needs. Collagen – the all-rounder Collagen is so special because it is naturally occurring, it is an all-natural material. Over million of years, it has evolved a high safety level which is one of the key issues nowadays. In fact, there are more than 30 different types of collagen in the different parts of the bod","Not all collagens are alike The human body sometimes needs help to regenerate bones, soft tissue or cartilage - help in the form of collagen materials. Collagen structures play an important part in the regeneration of body tissue. The collagen fibre composite is used by body cells as a guide rail for growth and a protective, supporting framework. It is often assumed that interaction between the cell surface and collagen structures also play a role in the differentiation of mesenchymal stem cells in bone or skin cells. Collagen products, such as membranes or matrices, may be the key to controlling the body’s regeneration ability perfectly. With the right collagen framework, hypothetically every single body tissue can be regenerated. Geistlich has the experts, the know-how and the technical equipment to design collagen fibers and collagen scaffolds for different therapeutic needs. Collagen – the all-rounder Collagen is so special because it is naturally occurring, it is an all-natural material. Over million of years, it has evolved a high safety level which is one of the key issues nowadays. In fact, there are more than 30 different types of collagen in the different parts of the bod",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00100.parquet:2061,shard_00036.parquet:30471,0.9999999403953552,1627,1627,"The reason for the appearance of green on ripe tubers – chemical reactions occurring in the potato exposed to sunlight. The fact that under the rind contains chlorophyll, which under appropriate conditions begins to interact with ultraviolet and infrared radiation, – so runs the notorious reaction of photosynthesis. Chlorophyll is contained in all plants. Under the influence of light he gives them a characteristic green color, but sometimes paints the leaves in shades of purple. The potatoes initially are not green just because are in the ground and protected from sunlight. By the way, under artificial light photosynthesis does not start, so if the root has acquired uncharacteristic for them to color, then in the cellar there are cracks. As the potato belongs to the family of plants Solanaceae and contains solanine – the strongest poison. During the process of photosynthesis, its content increases several times. By the way, the substance is present in Mature tubers, but in small doses – in a concentration of not more than 0.05 %. But in the foliage, pods-fruits and greenish roots its level increases significantly. Green potatoes are not edible because of the solanine content increa","The reason for the appearance of green on ripe tubers – chemical reactions occurring in the potato exposed to sunlight. The fact that under the rind contains chlorophyll, which under appropriate conditions begins to interact with ultraviolet and infrared radiation, – so runs the notorious reaction of photosynthesis. Chlorophyll is contained in all plants. Under the influence of light he gives them a characteristic green color, but sometimes paints the leaves in shades of purple. The potatoes initially are not green just because are in the ground and protected from sunlight. By the way, under artificial light photosynthesis does not start, so if the root has acquired uncharacteristic for them to color, then in the cellar there are cracks. As the potato belongs to the family of plants Solanaceae and contains solanine – the strongest poison. During the process of photosynthesis, its content increases several times. By the way, the substance is present in Mature tubers, but in small doses – in a concentration of not more than 0.05 %. But in the foliage, pods-fruits and greenish roots its level increases significantly. Green potatoes are not edible because of the solanine content increa",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00068.parquet:1689,shard_00149.parquet:38382,0.9999997615814209,4995,4995,"Colours affect various domains of our life – world, food, clothing, the living place, transportation, education and recreation. Colour also can harmonize and balance our energy and thus improve our life and destiny. Out of the balance and harmonizing of positive and negative forces arises energy – the most essential feature of life and human energy is greatly affected by colour. Colours play a vital role in influencing vastu shastra to a greater extent. Let us take a look at how colours influence vastu, which bring balance to our minds and bodies and stimulate our energy that is a colourful change which gives zest: Colors are most powerful in influencing the human mind and body. It is also the least expensive, easiest and quickest to use, to change and to create a decorating scheme. In Vedic periods, all colors were taken out from vegetables and flowers, which were more permanent in shade, soothing to eye and natural tint. At an early period in human history the symbolic use of colors was made. During early period Heart, which was the seat of life and the blood was identified with life and consciousness and was colored red. Yellows were possibly the color of fire and white that of","Colours affect various domains of our life – world, food, clothing, the living place, transportation, education and recreation. Colour also can harmonize and balance our energy and thus improve our life and destiny. Out of the balance and harmonizing of positive and negative forces arises energy – the most essential feature of life and human energy is greatly affected by colour. Colours play a vital role in influencing vastu shastra to a greater extent. Let us take a look at how colours influence vastu, which bring balance to our minds and bodies and stimulate our energy that is a colourful change which gives zest: Colors are most powerful in influencing the human mind and body. It is also the least expensive, easiest and quickest to use, to change and to create a decorating scheme. In Vedic periods, all colors were taken out from vegetables and flowers, which were more permanent in shade, soothing to eye and natural tint. At an early period in human history the symbolic use of colors was made. During early period Heart, which was the seat of life and the blood was identified with life and consciousness and was colored red. Yellows were possibly the color of fire and white that of",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00038.parquet:4000,shard_00018.parquet:50681,0.9727553129196167,33654,24395,"The name comes from a Monty Python sketch in which the name of the canned pork product Spam is ubiquitous, unavoidable, and repetitive. Email spam has steadily grown since the early 1990s, and by 2014 was estimated to account for around 90% of total email traffic. The legal definition and status of spam varies from one jurisdiction to another, but nowhere have laws and lawsuits been particularly successful in stemming spam. Most email spam messages are commercial in nature. Whether commercial or not, many are not only annoying, but also dangerous because they may contain links that lead to phishing web sites or sites that are hosting malware or include malware as file attachments. Spammers collect email addresses from chat rooms, websites, customer lists, newsgroups, and viruses that harvest users' address books. These collected email addresses are sometimes also sold to other spammers. At the beginning of the Internet (the ARPANET), sending of commercial email was prohibited. Gary Thuerk sent the first email spam message in 1978 to 600 people. He was reprimanded and told not to do it again. Now the ban on spam is enforced by the Terms of Service/Acceptable Use Policy (ToS/AUP) of","Email spam, also referred to as junk email, spam mail, or simply spam, is unsolicited messages sent in bulk by email (spamming). The name comes from a Monty Python sketch in which the name of the canned pork product Spam is ubiquitous, unavoidable, and repetitive. Email spam has steadily grown since the early 1990s, and by 2014 was estimated to account for around 90% of total email traffic. Since the expense of the spam is borne mostly by the recipient, it is effectively postage due advertising. Thus, it is an example of a negative externality. The legal definition and status of spam varies from one jurisdiction to another, but nowhere have laws and lawsuits been particularly successful in stemming spam. Most email spam messages are commercial in nature. Whether commercial or not, many are not only annoying as a form of attention theft, but also dangerous because they may contain links that lead to phishing web sites or sites that are hosting malware or include malware as file email attachment. Spammers collect email addresses from chat rooms, websites, customer lists, newsgroups, and viruses that harvest users' address books. These collected email addresses are sometimes also sold",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
